ID,YEAR,REGION,FESTIVAL_NAME,IMAGE_PATH,Aesthetic,Aesthetic_Description,Thematic,Thematic_Description,Readability,Readability_Description,Creativity,Creativity_Description
경남_4,2025,경남,2025_김해문화재야행,C:\workspace\uv_festival\홍보물\2025\경남\2025_김해문화재야행\포스터\2025_김해문화제야행_poster_01_20241017.jpg,9,풍부한 색채와 명암 대비로 신비로운 밤하늘 분위기를 효과적으로 연출했습니다. 중심에 배치된 달과 텍스트가 균형을 이루며 조형적 완성도가 매우 높습니다.,9,"‘밤빛’과 ‘문화유산’이라는 주제가 시각적으로 일관되게 표현되어 있습니다. 텍스트와 이미지, 콘셉트가 조화를 이루며 행사의 의미를 잘 전달합니다.",8,"글자와 배경의 충분한 대비로 가독성이 우수하며, 정보의 계층적 구성이 명확합니다. 시선이 자연스럽게 흐르도록 배치되어 전체적인 이해도를 높입니다.",8,전통적 소재와 현대적 디지털 일러스트가 조화롭게 어우러져 형식적 변주가 돋보입니다. 색상과 구성이 참신하며 독창적인 분위기를 자아냅니다.
경남_6,2025,경남,2025_양산삽량문화축전,C:\workspace\uv_festival\홍보물\2025\경남\2025_양산삽량문화축전\포스터\2025_양산삽량문화축전_poster_05_20250926.png,7,"진한 남색 배경에 노란색 글씨가 명확한 대비를 이루며 시선을 집중시킨다. 중앙에 균형 잡힌 배치로 시각적 안정감을 주고, 글씨와 배경의 조형적 통일감이 좋다.",8,축제의 전통적 정체성을 강조하는 한자와 궁궐 이미지를 활용해 주제를 잘 반영했다. 텍스트와 이미지가 동양 문화 축제라는 콘셉트와 일관되게 맞아떨어진다.,9,"글자 색상과 배경의 대비가 뚜렷해 가독성이 뛰어나며, 제목과 날짜 등의 정보가 명확한 계층 구조로 배치되어 이해하기 쉽다. 시선 흐름도 자연스러워 정보 전달에 효과적이다.",6,"전통적인 축제 포스터 디자인 문법을 따르면서도 색상 대비를 활용한 점은 신선하지만, 전체적인 구성과 시각적 패턴에는 큰 독창성이 느껴지지 않는다."
경남_5,2025,경남,2025_물금벚꽃축제,C:\workspace\uv_festival\홍보물\2025\경남\2025_물금벚꽃축제\포스터\2025_물금벚꽃축제_poster_01_20250329.jpg,8.5,부드럽고 조화로운 파스텔 톤의 분홍색과 하늘색이 봄꽃 축제의 분위기를 잘 표현했습니다. 중심에 정렬된 텍스트와 하단의 풍경 일러스트가 균형감 있게 배치되어 안정적인 구도를 이루고 있습니다.,9.0,벚꽃과 봄철 풍경을 시각적으로 직관적으로 표현해 제목과 행사 내용이 잘 연결되어 있습니다. 전체적으로 봄꽃 축제 주제에 맞는 일관된 콘셉트가 유지되어 행사의 의미 전달이 명확합니다.,7.5,"하늘색 배경과 흰색 및 분홍색 텍스트의 대비가 비교적 명확해 기본적인 가독성은 좋습니다. 다만 세로 배열의 텍스트가 익숙하지 않아 시선 이동이 약간 불편할 수 있으나, 정보를 계층적으로 잘 구성했습니다.",7.0,전통적인 봄꽃 축제 포스터 형식을 따르면서도 세로 텍스트 배열과 아기자기한 일러스트가 신선한 시도를 보여줍니다. 다만 전체적인 구성과 표현 방법은 비교적 일반적인 편이라 독창성 측면에서 약간 아쉽습니다.
경남_8,2025,경남,2025_원동미나리축제,C:\workspace\uv_festival\홍보물\2025\경남\2025_원동미나리축제\포스터\2025_원동미나리축제_poster_05_20250222.jpg,7,"색채 구성은 파스텔톤과 원색의 조화가 적절하며 자연 친화적인 분위기를 잘 살렸습니다. 구도는 상하로 명확히 구분되어 안정감을 주지만, 텍스트 배치가 다소 단조롭고 리듬감이 약간 떨어집니다.",8,텍스트와 이미지가 원동 미나리축제의 자연환경을 효과적으로 반영하여 주제와 잘 부합합니다. 하지만 ‘2026년 양산 방문의 해 성공 기원’ 문구가 시각적 강조나 연계가 약해 콘셉트 일관성에서 약간 손실이 있습니다.,8,"배경과 텍스트 간의 대비가 충분하여 가독성이 우수합니다. 정보는 계층별로 잘 구분되어 있으며 시선 흐름도 자연스럽지만, 일부 작은 글씨는 멀리서 식별하기 어려울 수 있습니다.",6,일러스트를 활용한 친근한 표현 방식은 무난하나 독창적인 시각 요소나 참신한 구성이 부족합니다. 기존 축제 홍보물의 형식을 크게 벗어나지 않아 신선함이 다소 떨어집니다.
경남_3,2025,경남,2025_고향사랑_방문의_해_기념_꽃_피는_남해,C:\workspace\uv_festival\홍보물\2025\경남\2025_고향사랑_방문의_해_기념_꽃_피는_남해\포스터\2025_고향사랑_방문의_해_기념_꽃_피는_남해_poster_01_20250328.jpg,8,"부드러운 파스텔 톤의 색채구성이 조화롭고, 명도와 채도의 대비가 적절해 안정적인 시각 효과를 줍니다. 구도는 중앙에 제목을 배치하여 균형감이 뛰어나고, 배경과 어우러진 꽃과 다리 일러스트가 전체적인 완성도를 높였습니다.",9,포스터의 이미지와 텍스트가 고향 방문과 봄꽃 축제라는 주제를 명확히 전달하며 일관된 콘셉트를 유지합니다. 꽃과 남해대교 등의 시각적 요소가 행사 취지와 잘 맞아떨어져 의미적 연결성이 높습니다.,7,"제목과 행사 정보의 계층적 구성이 잘 되어 있으나, 하단 노란 배경 위의 작은 글씨는 대비가 다소 약해 가독성이 떨어질 수 있습니다. 시선 흐름은 자연스럽지만 일부 텍스트 크기와 색상 조정이 필요해 보입니다.",7,"사계절 중 봄을 상징하는 벚꽃과 노란 유채꽃을 조합한 표현이 신선하며, 다리와 꽃을 활용한 구성이 참신합니다. 다만 전반적인 형식은 전통적인 축제 포스터 문법을 따르고 있어 완전한 독창성 면에서는 약간 아쉽습니다."
경남_7,2025,경남,2025_원동매화축제,C:\workspace\uv_festival\홍보물\2025\경남\2025_원동매화축제\포스터\2025_원동매화축제_poster_01_20250301.jpg,7.5,"전체적으로 분홍색 계열과 녹색 배경의 색상 조화가 부드럽고 편안하다. 중앙 정렬로 안정적인 구도를 이루며, 꽃과 집 일러스트의 통일감이 있다. 다만, 색상의 명도 대비가 다소 약해 시선 유도가 극적으로 드러나진 않는다.",8.0,"‘원동 매화 축제’라는 제목과 봄꽃, 주말장터 등 이미지가 잘 어우러져 주제가 명확하게 전달된다. 텍스트와 시각 요소의 콘셉트 일관성이 높아 행사 취지와 분위기를 잘 반영한다. 다만 축제의 특색을 좀 더 시각적으로 드러내면 좋을 듯하다.",8.5,"텍스트와 배경의 대비가 충분해 주요 정보가 명확히 판독된다. 날짜, 장소, 제목 등의 정보 구조가 계층적으로 잘 배열되어 한눈에 파악하기 쉽다. 시선 흐름도 자연스럽게 상단에서 하단으로 이어진다.",6.5,"전통적인 축제 포스터 형식을 충실히 반영하였으나, 특별히 독창적이거나 참신한 시도는 적다. 꽃과 집이라는 친숙한 모티프 사용은 무난하나 독창성 측면에서는 다소 평범한 편이다. 약간의 시각적 변화를 더하면 좋겠다."
경남_1,2025,경남,2025_가야문화축제,C:\workspace\uv_festival\홍보물\2025\경남\2025_가야문화축제\포스터\2025_가야문화축제_poster_02_20250411.jpg,8,"전통적인 색채 구성과 현대적 채도의 조화가 잘 이루어졌으며, 중심 배치와 형태 리듬이 안정적인 구도를 형성합니다. 일러스트 스타일이 전체적으로 통일되어 있어 조형 완성도가 높습니다.",9,"제목과 이미지, 행사 일자 및 장소 정보가 명확하게 연결되어 있어 주제가 잘 드러납니다. 고대 가야 문화와 지역성을 강조하는 콘셉트가 시각적으로 일관되며 잘 전달됩니다.",7,"배경과 텍스트 간의 대비가 적절하여 기본적인 가독성은 확보되었으나, 일부 강조색이 시선 분산을 야기할 수 있습니다. 정보의 계층 구조는 명료하지만 시선의 자연스러운 흐름 개선 여지가 있습니다.",7,"전통문화 축제 포스터로서 시각 패턴과 모티프에 창의적인 접근이 있으나, 형식적 변주 면에서는 다소 보수적인 편입니다. 그러나 전통적 요소와 현대적 색감의 조화에서 독자성이 엿보입니다."
경남_2,2025,경남,2025_거창한마당대축제,C:\workspace\uv_festival\홍보물\2025\경남\2025_거창한마당대축제\포스터\2025_거창한마당대축제_poster_01_20250925.jpg,8.5,"색채 구성은 짙은 밤하늘과 밝은 전경이 대비를 이루어 시각적 안정감을 준다. 구도는 중심에 크게 배치된 텍스트와 주변의 작은 일러스트가 균형을 잘 잡고 있으며, 일러스트와 텍스트가 조화롭게 어우러져 완성도가 높다.",9.0,"축제의 전통성과 지역성을 잘 반영한 요소들이 텍스트와 이미지에 일관되게 표현되었다. 텍스트와 시각적 요소가 서로 연관되어 행사 주제를 명확히 전달하며, 전체적인 콘셉트가 효과적으로 매칭된다.",8.0,"글자와 배경색의 대비가 좋아 텍스트 판독성이 높으나, 과도한 일러스트 배치로 인해 일부 시선 흐름이 다소 분산된다. 정보는 제목과 날짜, 장소 순으로 잘 구조화되어 있어 이해가 쉽다.",7.5,"전통 축제라는 주제를 일러스트와 함께 구성한 점이 참신하지만, 전체적으로 기존 축제 포스터 문법에서 크게 벗어나지 않는다. 다채로운 시각 패턴과 동적인 인물 묘사가 창의성을 보완한다."
경남_9,2025,경남,2025년_거제여름해양축제,C:\workspace\uv_festival\홍보물\2025\경남\2025년_거제여름해양축제\포스터\2025년_거제여름해양축제_poster_01_20250725.jpg,7,"색채 구성은 청색 배경과 노란색, 흰색, 분홍색 텍스트의 대비가 뚜렷하여 시각적 집중이 용이합니다. 구도는 중앙 정렬과 텍스트 크기의 변주로 안정감을 주며, 불꽃 일러스트가 배경에 조화롭게 배치되어 조형 완성도가 높습니다.",8,"텍스트와 이미지, 로고가 모두 여름 해양 축제라는 주제를 명확히 반영하여 콘셉트 일관성이 뛰어납니다. '해양축제'라는 키워드와 수변공원, 해수욕장 장소 정보가 시각·언어적으로 잘 매칭되어 있습니다.",9,"배경과 글자 색 대비가 우수하여 판독성이 매우 좋고, 정보의 위계가 명확하게 구분되어 있습니다. 시선의 자연스러운 흐름을 유도하며 행사명, 일정, 장소, 개막식 정보가 단계적으로 잘 배치되어 있습니다.",6,전체적으로 전통적인 축제 포스터 구성을 따르며 크게 새롭지 않은 편입니다. 다만 불꽃 모티프와 일부 텍스트 형식에 약간의 변주가 있어 평범함 속 약간의 독창성이 보입니다.
경남_12,2025,경남,거제맹종대나무축제,C:\workspace\uv_festival\홍보물\2025\경남\거제맹종대나무축제\포스터\거제맹종대나무축제_poster_05_20250425.jpg,5.5,"밝고 부드러운 녹색 계열로 편안한 분위기를 조성했으나, 색채 대비가 다소 약하고 시각적 균형감이 부족합니다. 주요 요소들이 다소 분산되어 통일감이 떨어지는 편입니다.",6.5,"대나무 축제라는 주제가 제목과 일부 이미지 요소에서 드러나지만, 전체적으로 주제와 시각 요소 간의 연결성이 다소 약합니다. 텍스트와 이미지 간 의미적 조화가 더 강화될 필요가 있습니다.",4.0,"텍스트 대비가 낮아 판독성이 떨어지고, 특히 노란색 배경 위 핑크색 글자의 가독성이 매우 낮습니다. 정보 배열이 명확하지 않아 시선 흐름이 자연스럽지 못합니다.",5.0,"기존 축제 포스터 형식에서 크게 벗어나지 않는 전형적 구성을 사용하였으며, 시각적 모티프와 표현 방식에 독창성이 다소 부족합니다. 새로운 시도보다는 안전한 디자인 경향입니다."
경남_13,2025,경남,경남고성공룡세계엑스포,C:\workspace\uv_festival\홍보물\2025\경남\경남고성공룡세계엑스포\포스터\경남고성공룡세계엑스포_poster_01_20251001.jpg,9,"다채롭고 선명한 색채 구성으로 시선을 끌며, 명도와 채도 대비가 뛰어납니다. 중앙 집중형 구도로 시각적 안정감을 주고 캐릭터들의 형태 리듬이 조화롭게 배치되어 완성도가 높습니다.",9,"공룡과 춤추는 즐거운 분위기가 제목과 이미지, 텍스트가 잘 어우러져 행사 주제와 일관성을 잘 보여줍니다. 아이들과 공룡 캐릭터가 조화롭게 표현되어 콘셉트가 명확합니다.",8,"주요 정보인 제목과 일정, 장소가 명확히 구분되어 있으며 색 대비가 좋아 읽기 쉽습니다. 다만 일부 작은 글씨(사이트 주소, QR 코드 주변)가 다소 복잡해 가독성에 약간의 부담이 있습니다.",8,공룡 캐릭터에 귀여운 악세서리와 표정을 더해 친근하고 독특한 연출을 시도한 점이 신선합니다. 기존 축제 포스터 형식을 따르면서도 밝고 역동적인 패턴 변주가 돋보입니다.
경남_10,2025,경남,2025년_사천시_삼천포항_수산물축제,C:\workspace\uv_festival\홍보물\2025\경남\2025년_사천시_삼천포항_수산물축제\포스터\2025년_사천시_삼천포항_수산물축제_poster_01_20250523.jpg,7.5,"밝고 산뜻한 색채 구성으로 해양 축제의 분위기를 잘 살렸습니다. 중심 인물과 물고기 일러스트의 위치 배치가 균형 잡혀 시각적으로 안정감을 줍니다. 다만, 전체적으로 정보가 많아 조금 복잡해 보이는 점이 아쉽습니다.",9,"수산물 축제라는 주제가 이미지, 텍스트, 이벤트 내용과 잘 연결되어 명확하게 드러납니다. 바다와 수산물 일러스트, 축제 날짜 및 장소도 일관된 콘셉트로 표현되어 행사의 핵심 테마가 잘 전달됩니다.",6.5,"빨간색 날짜와 장소 정보가 배경과 대비되어 눈에 잘 띄지만, 하단 인물 사진과 이름 텍스트가 다소 작고 글자 색 대비가 약해 가독성이 낮은 부분이 있습니다. 전체적으로 정보량이 많아 시선 이동이 다소 분산될 수 있습니다.",6,전통적인 축제 포스터 형식을 따르면서도 일러스트 캐릭터를 활용한 점은 신선합니다. 다만 형식적 변주가 크지 않고 색상이나 모티프의 다양성 측면에서 참신함이 다소 부족해 보입니다.
경남_11,2025,경남,ON산청_빛나는_여름밤_페스티벌,C:\workspace\uv_festival\홍보물\2025\경남\ON산청_빛나는_여름밤_페스티벌\포스터\ON산청_빛나는_여름밤_페스티벌_poster_01_20250727.jpg,8,명도와 채도가 조화롭게 구성되어 밤하늘과 빛나는 요소들이 잘 어우러져 있음. 주요 타이틀이 중앙에 균형 있게 배치되어 시각적 안정감을 제공. 일러스트와 사진 이미지가 통일감 있게 구성되어 전반적인 완성도가 높음.,9,"텍스트와 시각 이미지가 축제의 밤이라는 주제와 명확하게 일치함. 제목과 로고, 이미지 모두 여름밤 페스티벌의 즐거움과 활기를 잘 전달하며 콘셉트가 일관됨. 행사에 대한 정보와 시각적 요소 간 의미적 연결이 확실히 드러남.",7,"텍스트 색상이 배경과 적절한 대비를 이루어 가독성이 양호하나, 일부 작은 글씨는 다소 읽기 어려움. 날짜, 장소, 프로그램 구성이 명확하지만 시선 흐름이 약간 복잡해 집중도가 떨어질 수 있음. 정보의 구조화가 조금 더 명확하면 좋겠음.",7,"밤하늘과 빛을 모티프로 한 시각적 연출이 전반적으로 신선하나, 표현 방식은 다소 전통적인 편. 색상과 구성에서 독특한 패턴은 드물지만 조화로운 변주가 돋보임. 축제 포스터로서의 독자성은 있으나 더 파격적인 시도가 있으면 좋을 듯."
경남_15,2025,경남,경남고성공룡세계엑스포,C:\workspace\uv_festival\홍보물\2025\경남\경남고성공룡세계엑스포\포스터\경남고성공룡세계엑스포_poster_05_20251001.jpg,7,"배경의 색채는 가을 풍경과 하늘의 조화로움이 돋보이나, 전반적으로 다소 어두운 톤이 조금 무거운 느낌을 준다. 중앙 이미지 구도가 안정적이며, 포스터 내 캐릭터와 배경이 통일감을 이룬다.",8,"포스터 제목과 이미지, 텍스트가 '익룡'이라는 주제에 잘 부합하며, 행사 콘셉트가 명확히 전달된다. 비행하는 익룡 이미지와 텍스트가 시각적, 의미적으로 일관되어 관람객에게 명확한 메시지를 준다.",7,"글자의 대비가 충분하여 주요 제목은 쉽게 인식 가능하나, 하단 설명문은 배경과 대비가 약간 부족해 가독성이 다소 떨어진다. 정보의 계층 구조는 명확하지만, 시선 흐름이 조금 산만할 수 있다.",6,"익룡 비행 장면을 실감나게 재현한 점은 독창적이나, 전체 레이아웃은 기존 축제 포스터와 유사한 형식을 띠고 있어 형식적 참신성은 다소 제한적이다. 시각적 요소들이 전반적으로 익숙한 패턴에 머문다."
경남_14,2025,경남,경남고성공룡세계엑스포,C:\workspace\uv_festival\홍보물\2025\경남\경남고성공룡세계엑스포\포스터\경남고성공룡세계엑스포_poster_03_20251001.jpg,7.0,"파란색을 기본으로 한 색채 구성이 안정적이며, 노란색과 흰색이 강조되어 눈에 잘 띕니다. 포스터 중앙에 크게 배치된 네 개의 이미지가 균형을 이루지만, 구도에서 약간의 단조로움이 느껴집니다.",8.5,"포스터 내 이미지와 텍스트가 공룡, 서커스, 공원 전시 등 행사 주제와 잘 맞아떨어집니다. 제목, 행사 정보, 이미지 간 의미적 연결이 명확하여 행사의 핵심 컨셉이 일관성 있게 전달됩니다.",8.0,"폰트와 배경색 대비가 좋아 정보가 명확히 식별됩니다. 제목, 행사 기간, 장소, 문의 등의 정보가 계층적으로 잘 배열되어 있어 가독성이 우수하며 시선 흐름도 자연스럽습니다.",6.5,"기본적인 정보 전달 형식을 따르면서도 이미지 4분할 배치와 곡선형 텍스트 사용으로 참신성을 더했습니다. 다만, 전체적인 구성과 색상에서 큰 독창성이나 변화는 제한적입니다."
경남_16,2025,경남,고성_수산물_가리비_축제,C:\workspace\uv_festival\홍보물\2025\경남\고성_수산물_가리비_축제\포스터\고성_수산물_가리비_축제_poster_05_20251031.jpg,6.5,"전체적으로 따뜻한 가을톤 색채가 조화를 이루나, 색상 대비가 다소 약해 시각적 포인트가 부족합니다. 사진과 텍스트의 배치가 균형을 이루나, 구도의 리듬감은 평범한 편입니다.",8.0,"축제의 핵심인 ‘수산물’과 ‘가을단풍’ 주제가 명확히 드러나며, 텍스트와 이미지가 적절히 연결되어 있어 주제 전달력이 높습니다. 행사 일정과 참여자 소개가 잘 조화되어 콘셉트 일관성이 돋보입니다.",7.5,"텍스트 색상과 배경 간 대비가 충분해 정보 식별이 용이합니다. 구성은 제목, 일정, 장소, 출연진 등으로 잘 구분되어 있으나, 시선의 흐름은 다소 산만한 감이 있습니다.",5.5,"전통적인 포스터 형식을 크게 벗어나지 않아 참신함이 제한적입니다. 이미지와 정보 배열이 전형적이며, 독창적 시각 패턴이나 표현의 새로움이 부족한 편입니다."
경남_18,2025,경남,남부면_수국축제,C:\workspace\uv_festival\홍보물\2025\경남\남부면_수국축제\포스터\남부면_수국축제_poster_01_20250622.jpg,8.0,"부드럽고 조화로운 파스텔톤 색채가 사용되어 명도와 채도의 대비가 적절하며, 전체적으로 안정된 구도를 보여줍니다. 수국 꽃과 배경 풍경이 자연스럽게 어우러져 일러스트 완성도가 높습니다.",9.0,"‘수국, 여름을 걷다’라는 제목과 수국 꽃, 여름 풍경이 명확히 연결되어 주제 적합성이 우수합니다. 텍스트와 이미지가 행사 콘셉트와 조화를 이루고 있어 메시지 전달이 효과적입니다.",7.5,"배경이 다채롭지만 주요 텍스트는 대비가 적절하여 가독성이 양호합니다. 제목, 날짜, 장소가 체계적으로 배치되어 정보 구조가 잘 구성되어 있습니다. 다만 일부 작은 텍스트는 배경과 조금 어우러져 가독성이 다소 떨어질 수 있습니다.",7.0,전통적인 축제 포스터 형식을 유지하면서도 꽃과 자연을 강조한 일러스트 표현이 신선합니다. 전체적으로 무난한 구성이나 색상과 모티프 사용에 있어 약간의 독창성이 드러납니다.
